FID,species,TAG0305,jan38,oct43,jun54,may67,jan80,may94,jul04,aug12,jul14,jun16,jul18,aug20,POINT_X,POINT_Y,usecode,surfgeol,soilgrid,tpi_500,slope9m,floaccum9m,solradmara
0,QUAG,1224,2,2,2,2,2,2,2,2,2,2,2,2,772117.3909,3841449.985,1,Qls,8,-9.2168903,11.9947004,0,1056860
1,QULO,NA,2,2,2,2,2,2,0,0,0,0,0,0,771940.8669,3841452.058NA9,1,Qt3f,16,-10.6355,9.4623203,3,1075750
2,QUAG,1224,2,2,2,2,2,2,2,2,2,2,2,2,772118.8125,3841454.75,1,Qls,8,-8.4393301,9.5904398,8,1066830
3,QUAG,1219,0,0,0,1,1,2,2,2,2,2,2,2,772168.2704,3841459.086,1,Qc,8,2.91852,24.1483002,0,978228
4,QULO,1235,2,2,2,2,2,2,2,2,2,2,2,2,772029.3229,3841461.7812NA,1,Qt3f,2,-15.1415997,6.81322,0,1095950
5,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,772178.9179,3841463.608,1,Qls,8,6.2536602,25.5435009,1,931134
6,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,772205.6613,3841467.205,1,Qc,8,14.3662996,23.4561996,1,930916
7,QULO,NA,2,2,2,2,2,2,0,0,0,0,0,0,771899.08NA999,3841467.591,3,Qc,2,-15.8051996,1.59114,1,1081740
8,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,772219.7455,3841468.4893NA,1,Qc,8,17.0072994,25.5435009,5,932214
9,QUAG,1220,2,2,2,2,2,2,2,2,2,2,2,0,772160.25,3841469,1,Qc,8,-2.5174601,19.4990005,3,992813
10,QULO,1222,2,2,2,2,2,2,2,2,2,2,2,2,772141.3125,3841472,1,Qc,8,-5.9806499,11.3268995,121,1094850
11,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,772213.3231,3841474.263,1,Qc,8,10.8676996,25.316,6,905961
12,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,772233.0041,3841478.692,1,Qls,8,19.1881008,24.1688004,7,970053
13,QUAG,NA,2,2,2,2,2,2,2,2,2,2,0,2,772205.6291,3841482.674,2,Qls,8,6.4904199,11.9947004,77,1049750
14,QUDO,NA,2,2,2,2,2,0,0,0,0,0,0,0,772246.8919,3841485.123,2,Qls,8,23.4925003,22.0209007,5,997519
15,QULO,NA,2,2,2,2,2,2,2,2,2,0,0,0,772010.5627,3841492.8166NA,1,Qa,16,-8.5438204,15.5978003,1,1056640
16,QUAG,NA,0,0,0,0,0,0,1,2,2,2,2,2,772259.5587,3841495.105,2,Qc,8,26.6828995,17.8563995,0,1038240
17,QULO,1236,2,2,2,2,2,2,2,2,2,2,2,2,771998.2175,3841499.682,1,Qc,16,-6.4112201,8.9985104,0,1065850
18,QUAG,1226,2,2,2,2,2,2,2,2,2,2,2,2,772069.875,3841499.75,1,Qt3f,16,-10.8226995,14.9576998,1,1065800
19,QULO,1238,2,2,2,2,2,2,2,2,2,2,2,2,772021.3898NA9,3841501.252,1,Qt3f,2,-13.2378998,10.2643995,1,1063280
20,QULO,1234,2,2,2,2,2,2,2,2,2,2,2,2,772038.8384NA9,3841503.0885NA,1,Qt3f,2,-14.8506002,1.12525,3494,1091100
21,QUAG,NA,0,0,0,0,0,0,1,2,2,2,2,2,772254.3335,3841504.249,2,Qc,8,23.2115993,19.2754002,21,1049660
22,QUAG,1228,2,2,2,2,2,2,2,2,2,2,2,2,772074.6875,3841508.5,1,Qt3f,16,-10.4708004,14.6844997,0,1022970
23,QULO,1237,2,2,2,2,2,2,2,2,2,2,2,2,772012.0542NA9,3841508.7766NA,1,Qa,16,-11.1780005,13.3070002,6,1062110
24,QUAG,NA,2,2,2,2,2,2,0,0,0,0,0,0,771946.8527NA9,3841508.973NA9,1,Qc,2,-12.7592001,16.2777004,4,1016810
25,QULO,NA,2,2,2,2,2,2,2,1,1,0,0,0,772141.3125,3841528.75,1,Qc,8,-1.08749,25.5622997,0,947504
26,QULO,NA,2,2,1,1,1,0,0,0,0,0,0,0,772043,3841531,1,Qt3f,2,-15.0604,6.0379901,0,1094210
27,QULO,1233,2,2,2,2,2,2,2,2,2,2,2,2,772059,3841539.25,1,Qt3f,16,-14.1731005,6.3401899,1,1083440
28,QULO,1231,2,2,2,2,2,2,2,2,2,2,1,1,772149.3653,3841540.528,1,Qc,8,-3.1026599,24.3117008,3,927146
29,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,772140.362,3841541.469,1,Qc,8,-5.7245498,27.3251991,1,909349
30,QULO,NA,2,2,2,2,1,0,0,0,0,0,0,0,771885.8765,3841542.375,1,Qc,16,-12.9260998,6.3401899,0,1111320
31,QULO,1240,2,2,2,2,2,2,2,2,2,2,2,2,771964.7948NA9,3841547.8500NA,1,Qc,16,-11.2234001,16.1725998,1,1028930
32,QULO,NA,2,2,1,0,0,0,0,0,0,0,0,0,771939.0625NA9,3841549.163,1,Qt3f,2,-15.7757998,2.5148399,4338,1083900
33,QUAG,NA,2,2,2,1,0,0,0,0,0,0,0,0,772267.1448,3841550.686NA9,2,Qc,8,25.6530991,20.7740993,0,995386
34,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,772155.5529,3841551.639,1,Qc,8,-5.8454299,22.5063992,3,935691
35,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,772150.4952,3841551.933,1,Qc,8,-6.5903902,22.5063992,3,935691
36,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,772074.5707NA9,3841563.7958NA,1,Qc,16,-8.9152498,12.3857002,0,1111630
37,QUAG,1239,2,2,2,2,2,2,2,2,2,2,2,2,771995.599,3841568.966,1,Qc,16,-6.8796101,3.55425,0,1074170
38,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,1,772132.0126,3841569.215,1,Qc,8,-10.7537003,5.7193398,843,1099620
39,QULO,1241,2,2,2,2,2,2,2,2,2,2,2,2,771932.3906,3841573.346,1,Qc,2,-16.2229996,3.3722899,10,1097350
